Paper,,,,,,,,,
Object,2D Projection,3D Transformation,5 cm 5 degree,Mean 2D Pixel error,Mean Vertex error,Mean Corner error,Translation error,Angle error,Pixel error
Ape,92.10%,21.62%,-,-,-,-,-,-,-
Benchvise,95.06%,81.80%,-,-,-,-,-,-,-
Cam,93.24%,36.57%,-,-,-,-,-,-,-
Can,97.44%,68.80%,-,-,-,-,-,-,-
Cat,97.41%,41.82%,-,-,-,-,-,-,-
Driller,79.41%,63.51%,-,-,-,-,-,-,-
Duck,94.65%,27.23%,-,-,-,-,-,-,-
Eggbox,90.33%,69.58%,-,-,-,-,-,-,-
Glue,96.53%,80.02%,-,-,-,-,-,-,-
Holepuncher,92.86%,42.63%,-,-,-,-,-,-,-
Iron,82.94%,74.97%,-,-,-,-,-,-,-
Lamp,76.87%,71.11%,-,-,-,-,-,-,-
Phone,86.07%,47.74%,-,-,-,-,-,-,-
,,,,,,,,,
Backup weights,,,,,,,,,
Object,2D Projection,3D Transformation,5 cm 5 degree,Mean 2D Pixel error,Mean Vertex error,Mean Corner error,Translation error,Angle error,Pixel error
Ape,94.19%,28.38%,52.00%,3.047747,0.030705,4.277678,0.030461 m,5.709400 degree,3.047747 pix
Benchvise,94.96%,77.81%,86.43%,2.513293,0.019597,5.029541,0.019212 m,3.145374 degree,2.513293 pix
Cam,91.08%,33.82%,61.08%,3.043638,0.033949,4.618178,0.033657 m,3.929928 degree,3.043639 pix
Can,97.44%,67.42%,89.07%,2.464161,0.017424,4.103917,0.017102 m,2.899551 degree,2.464161 pix
Cat,96.91%,42.42%,56.09%,2.423553,0.0232,3.859659,0.022863 m,4.821600 degree,2.423553 pix
Driller,86.42%,74.63%,75.42%,3.433753,0.020398,5.602783,0.019749 m,3.793289 degree,3.433752 pix
Duck,94.55%,25.45%,43.29%,3.423712,0.028763,4.892404,0.028387 m,6.387599 degree,3.423713 pix
Eggbox,91.08%,25.82%,50.14%,3.026402,0.035289,4.389616,0.035003 m,4.895438 degree,3.026402 pix
Glue,96.62%,44.59%,55.50%,2.441025,0.031814,3.579291,0.031529 m,5.297801 degree,2.441024 pix
Holepuncher,90.01%,42.34%,59.75%,4.44984,0.031699,5.649992,0.031334 m,4.820758 degree,4.449840 pix
Iron,78.65%,69.15%,47.40%,4.485961,0.029075,7.116402,0.028097 m,6.225282 degree,4.485961 pix
Lamp,72.84%,67.47%,70.73%,4.85264,0.027626,7.0688,0.027006 m,4.242831 degree,4.852640 pix
Phone,-,-,-,-,-,-,-,-,-
,,,,,,,,,
Trained,,,,,,,,,
Object,2D Projection,3D Transformation,5 cm 5 degree,Mean 2D Pixel error,Mean Vertex error,Mean Corner error,Translation error,Angle error,Pixel error
Ape,94.48%,27.52%,49.24%,3.413573,0.032422,4.085927,0.032123 m,6.265123 degree,3.413573 pix
Benchvise,,,,,,,,,
Cam,,,,,,,,,
Can,,,,,,,,,
Cat,,,,,,,,,
Driller,,,,,,,,,
Duck,,,,,,,,,
Eggbox,,,,,,,,,
Glue,,,,,,,,,
Holepuncher,,,,,,,,,
Iron,,,,,,,,,
Lamp,,,,,,,,,
Phone,,,,,,,,,
,,,,,,,,,
Our method,,,,,,,,,
Object,2D Projection,3D Transformation,5 cm 5 degree,Mean 2D Pixel error,Mean Vertex error,Mean Corner error,Translation error,Angle error,Pixel error
Ape,,,,,,,,,
Benchvise,,,,,,,,,
Cam,,,,,,,,,
Can,,,,,,,,,
Cat,,,,,,,,,
Driller,,,,,,,,,
Duck,,,,,,,,,
Eggbox,,,,,,,,,
Glue,,,,,,,,,
Holepuncher,,,,,,,,,
Iron,,,,,,,,,
Lamp,,,,,,,,,
Phone,,,,,,,,,
